Building Number,Latitude,Longitude
1,42.35809324,-71.09233749
2,42.35881892,-71.08996015
3,42.35905519,-71.09246052
4,42.3596553,-71.09106781
5,42.35878442,-71.09287465
6,42.35924992,-71.09033922
7,42.35928552,-71.09311755
8,42.36013634,-71.09061102
9,42.35968291,-71.09374333
10,42.35952855,-71.09196911
11,42.35952702,-71.09281081
12,42.3603515,-71.09174312
13,42.35996228,-71.09277488
14,42.35896313,-71.08934563
16,42.36064041,-71.09032852
17,42.36009582,-71.09355787
18,42.35998384,-71.08968675
24,42.36055846,-71.09226649
26,42.36066248,-71.09105271
31,42.36037753,-71.09323254
32,42.36190487,-71.09065115
33,42.36016742,-71.09384068
34,42.36111998,-71.0918339
35,42.36024772,-71.09431848
36,42.36118367,-71.09201565
37,42.36076277,-71.09324483
38,42.36115875,-71.09230983
39,42.36081855,-71.09275903
41,42.3607681,-71.094141
42,42.36101598,-71.09381703
43,42.36117338,-71.09317448
44,42.36161754,-71.0926494
46,42.36262919,-71.09155811
48,42.36267967,-71.09052502
50,42.35935014,-71.08835164
51,42.35849027,-71.08770517
54,42.3603944,-71.08935613
56,42.36078566,-71.08993575
57,42.36123941,-71.09030859
62,42.36019602,-71.08871895
64,42.36042616,-71.08813369
66,42.36088644,-71.08913993
68,42.36163502,-71.08865392
76,42.36239624,-71.08920496
E1,42.35963656,-71.08701674
E2,42.36006228,-71.08696575
E14,42.36048424,-71.08727677
E15,42.36092438,-71.08765157
E17,42.36156952,-71.08782727
E18,42.36172612,-71.08783484
E19,42.36191627,-71.08792188
E23,42.36131505,-71.08650649
E25,42.36170735,-71.0869961
E37,42.36158603,-71.08560882
E38,42.36177709,-71.08598491
E40,42.36109971,-71.08502453
E51,42.36066301,-71.08460479
E52,42.36073889,-71.08366414
E53,42.36112709,-71.08376062
E55,42.36174298,-71.0838904
E60,42.36118564,-71.08194487
E62,42.36102213,-71.08301693
E70,42.36282049,-71.08339912
E90,42.36231424,-71.08008905
